title,rating,review_text,location,hotel,label
Excelente y personal amable,5,Un hotel muy bueno.  El personal fue muy amable y profesional. Nos gustaban desayuno mucho también. El habitación cómoda y limpia. Volvimos a próxima vez en Seville por seguro. Lo recomiendo !! Y también ubicación muy cerca del centro :)))),Seville_Province_of_Seville_Andalucia,H10_Casa_de_la_Plata,1
Céntrico,4,"Muy buen hotel al nivel de lo esperado, habitación junior suite, no muy grande pero con todo lo deseable para una estancia confortable, trato del personal agradable, ubicación muy buena para hacer turismo, super céntrico, igualmente el desayuno es estupendo.",Seville_Province_of_Seville_Andalucia,H10_Casa_de_la_Plata,1
Hotel excepcional,5,"Magnífico hotel. La verdad es que todo perfecto. Habitación amplia y actual, equipo amable y eficiente y desayuno magnífico con un patio precioso. A parte, está cerca de todo. el mejor 4 estrellas urbano en el que he estado.",Seville_Province_of_Seville_Andalucia,H10_Casa_de_la_Plata,1
WOW!!,5,"Hotel hermoso, buen diseño, original, limpio. Servicio excelente y muy buena ubicación, justo enfrente tiene un carrefour express, rodeado de tiendas y las pizzas de la esquina estan buenísimas!! SUPER RECOMENDADO!",Seville_Province_of_Seville_Andalucia,H10_Casa_de_la_Plata,1
Magnifico,5,Magnífica ubicación en pleno centro de Sevilla para recorrer la ciudad caminando. Habitaciones perfectas con gran cama. Diseño típico de estilo actualizado. El desayuno muy completo y bueno en un lugar único. Felicidades por este hotel!!! Repetiré,Seville_Province_of_Seville_Andalucia,H10_Casa_de_la_Plata,1
Mejor hotel de ciudad en Sevilla,5,"Si estás buscando un hotel para alojarte en el centro de Sevilla, este cumplirá tus expectativas, las habitaciones son increíbles, la decoración tiene mucho encanto y el personal es bastante amable. La experiencia fue de 10!",Seville_Province_of_Seville_Andalucia,H10_Casa_de_la_Plata,1
Ubicación y comodidad,4,"Gran ubicación y una enorme comodidad. La cama es de súper lujo, el baño muy limpio y bien surtido de amenities, y el hotel está situado a 5 minutos del centro y a pesar de eso, silencioso. Es algo más caro que otros hoteles de categoría similar en la misma zona. Aún así, es recomendable",Seville_Province_of_Seville_Andalucia,H10_Casa_de_la_Plata,1
Muy buena relación calidad-precio,5,"Precioso hotel en pleno centro de Sevilla, entre Las Setas y la Catedral. Servicio muy profesional, buen desayuno y camas muy cómodas. Decoración muy cuidada. Muy buena relación calidad-precio. Sólo un matiz importante: no se puede acceder en coche, está en una zona totalmente peatonal. Pero la distancia al parking más cercano es perfectamente asumible si no vas muy cargado. ",Seville_Province_of_Seville_Andalucia,H10_Casa_de_la_Plata,1
Lo mejor su personal,5,"Como todos los hoteles de la cadena, un 10. Habitación elegante y limpísima, como el baño. Amplia y camas muy cómodas. Pero lo mejor su personal, recepción y el personal del comedor de desayunos muy amables y competentes, repito que lo mejor del hotel. Muy buena ubicación, cerca de todo.",Seville_Province_of_Seville_Andalucia,H10_Casa_de_la_Plata,1
HOTEL PRECIOSO,5,"Empiezo por lo menos agradable: no es posible acceder en coche, ni tan siquiera en taxi, pues la calle es muy estrecha y completamente peatonal. La mejor opción es dejar el coche en un parking cercano y un taxi a la plaza de la Encarnación (las Setas). De ahí, por la calle Puente y Pellón hay apenas 100 metros al hotel. Por lo demás, la situación no puede ser mejor: a tiro de piedra de todo lo interesante del centro de Sevilla: monumentos, restaurantes, comercios...Y el hotel es precioso, muy nuevo y decorado con excelente gusto. Se respira limpieza por todo el recinto. Personal muy correcto y amable. Veo que los precios fluctúan mucho en función de los días de la semana elegidos y/o la temporada. En nuestro caso nos resultó baratísimo.  En definitiva, se ha convertido en…",Seville_Province_of_Seville_Andalucia,H10_Casa_de_la_Plata,1
Excelente opción para visitar Sevilla,5,"Hotel estupendamente situado en una zona peatonal del centro histórico, al lado de la Plaza del Salvador y muy cómodo para visitar a pie todos los lugares de interés de Sevilla. El edificio es muy nuevo y las instalaciones funcionan a la perfección. Buen aislamiento acústico y camas y almohadas muy cómodas, lo que asegura un adecuado descanso. El personal es muy servicial, agradecer especialmente la atención y profesionalidad de Susana. El desayuno es excelente, con la posibilidad de tomarlo en el patio que es muy agradable. Los protocolos covid están bien establecidos y generan seguridad sin suponer molestia alguna. Nosotros aparcamos en el aparcamiento de la Magdalena en calle San Pablo, 3 (alrededor de 12 euros/día reservando por parclick), muy cómodo pagas por adelantado y…",Seville_Province_of_Seville_Andalucia,H10_Casa_de_la_Plata,1
Escapada aniversario,5,"Hotel perfecto para nuestras necesidades.  Céntrico, limpio, seguro covid, habitaciones y camas amplias, gran desayuno y empleados atentos y profesionales. Si volvemos a Sevilla, contaremos con vosotros. Gracias.",Seville_Province_of_Seville_Andalucia,H10_Casa_de_la_Plata,1
EXCELENTE,5,"Es un hotel con encanto, situado en el centro a 500 metros de la Catedral, a dos pasos de la Plaza de la Encarnación... Tiene una ubicación excelente. El hotel es precioso, el personal encantador y la ubicación perfecta. Realmente la reserva la habíamos hecho en el H10 Corregidor Boutique, pero nos avisaron de que nos cambiaban a este porque el otro estaba cerrado. En la habitación hay cafetera Nespresso y están decoradas con mucho gusto. Si volvemos a Sevilla tengo muy claro el hotel al que quiero ir. Muchas gracias.",Seville_Province_of_Seville_Andalucia,H10_Casa_de_la_Plata,1
De sobresaliente,5,"Estancia muy grata en todos los sentidos. El hotel muy bien situado, la habitación muy cómoda y bien equipada y el personal de recepción inmejorable. Desde Anuar que nos recibió, Antonio que nos despidió y especialmente Raúl que nos hizo la reserva. Muy profesional, de trato muy correcto, cercano y amable. Unos trabajadores dignos de un hotel de su categoría.",Seville_Province_of_Seville_Andalucia,H10_Casa_de_la_Plata,1
